LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
50,13500,1Fam,10,5,1,0,6,2007,483,4,GasA,Y,630,0,2008,200509.940822934
0,10237,1Fam,8,5,1,0,6,1981,1176,3,GasA,Y,1316,0,2006,187209.812454776
0,11341,1Fam,6,6,1,0,5,1994,1151,2,GasA,Y,1477,0,2010,178669.148091419
90,8414,1Fam,10,6,1,1,6,1925,884,6,GasA,N,1204,0,2008,234584.885933401
69,4435,1Fam,6,5,2,0,5,1918,969,2,GasA,Y,1349,0,2009,95970.9848132284
60,7015,Duplex,4,6,2,0,6,2005,1029,3,GasA,Y,1376,0,2007,170605.121743504
0,14850,1Fam,4,3,2,1,7,1967,952,3,GasA,Y,1733,0,2009,179064.676026179
0,2117,1Fam,7,5,1,1,5,1975,793,3,GasA,Y,923,0,2008,127907.391655707
90,8978,1Fam,4,5,1,1,6,1937,732,3,GasA,Y,1639,0,2009,120158.764334004
65,9170,Duplex,6,5,2,1,6,1952,520,3,GasA,Y,1224,0,2008,103548.35213166
21,7449,1Fam,5,7,2,0,6,1980,1947,3,GasA,Y,1872,0,2009,169545.452224439
40,39104,2fmCon,7,7,2,1,8,1969,1581,4,GasA,Y,1094,0,2009,233671.045990743
80,8410,1Fam,5,5,1,1,6,1962,1188,3,GasA,Y,1713,0,2007,147853.187938147
174,10452,Duplex,5,6,1,1,6,1928,960,3,GasA,Y,1744,0,2009,152404.527978146
36,6897,1Fam,6,5,2,1,7,1922,1099,4,GasA,Y,899,0,2007,110976.153750588
60,16669,TwnhsE,7,6,2,0,6,1977,910,2,GasA,Y,792,0,2006,182269.964314259
0,12704,1Fam,5,7,1,0,11,1964,1694,1,GasA,N,1721,0,2006,197673.743368731
70,9000,1Fam,9,6,1,0,5,1976,1372,4,GasA,Y,1314,0,2006,216603.048605418
72,10083,1Fam,6,5,2,1,5,2008,612,2,GasA,Y,1382,0,2009,150997.163219581
75,7642,1Fam,7,6,2,0,5,2006,1792,3,GasA,Y,2240,0,2008,260084.0253189
41,12376,Duplex,6,6,1,0,8,1940,1362,2,GasA,Y,960,0,2008,120459.373026174
57,10000,TwnhsE,8,6,1,1,5,2000,1150,3,GasA,Y,1766,0,2006,262293.21260791
0,7861,1Fam,7,7,2,0,5,1995,612,2,GasA,Y,2046,0,2006,171639.292388773
82,1680,1Fam,4,5,2,0,6,2005,848,3,GasA,Y,2554,0,2008,162788.791270824
35,7875,1Fam,5,6,1,0,5,1949,982,3,GasA,Y,1294,0,2007,119918.317372435
0,8544,1Fam,7,5,1,0,4,2002,1040,3,GasA,Y,1689,0,2009,177345.566602785
78,6768,1Fam,5,8,1,0,6,1981,1237,2,GasA,Y,1097,0,2006,143029.015241695
116,6762,1Fam,4,5,2,0,7,2006,702,2,GasA,Y,630,0,2006,114319.429814336
75,16659,1Fam,6,4,1,0,9,1924,969,3,GasA,Y,835,0,2008,117328.716595528
53,6960,1Fam,6,9,1,0,8,1977,798,4,GasA,Y,1040,0,2009,122116.030361991
0,9938,1Fam,7,7,1,1,5,1910,1094,3,GasA,Y,1720,0,2010,219380.773937144
82,8777,TwnhsE,7,6,1,0,6,1966,1073,3,GasA,Y,800,0,2006,131787.797226109
60,8544,1Fam,7,5,1,0,6,2000,864,4,GasA,Y,1829,0,2006,197063.557837859
60,8125,1Fam,4,5,1,0,5,1945,816,5,GasA,Y,1950,0,2006,148560.655154403
65,7050,1Fam,5,8,2,1,4,2007,1143,3,GasA,Y,1310,0,2006,156902.999485574
60,10437,1Fam,8,5,1,0,8,1970,1734,3,GasA,Y,1756,0,2006,257470.468824311
80,7658,1Fam,5,7,2,0,7,2007,702,3,GasA,Y,1144,0,2006,170998.439975461
0,11844,1Fam,8,4,1,1,8,1961,649,2,GasA,Y,1375,512,2008,161350.703801779
78,7472,1Fam,8,7,1,0,5,2001,1440,4,GasA,Y,773,0,2009,241397.31873683
70,8400,1Fam,8,5,2,0,8,2000,1064,2,GasW,Y,1148,0,2009,193090.937083005
52,6563,1Fam,6,6,1,1,7,1955,1134,2,GasA,Y,1692,0,2008,151344.298843633
77,9250,1Fam,5,5,2,1,5,2005,1148,3,GasA,N,1382,0,2010,170145.390373579
