id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,result,GreaterThanHalf
1,0,0,0,0,0,0,1,0,0,0,0,n
2,0,1,0,0,0,0,0,0,0,0,0,n
3,1,1,1,1,1,1,0,1,0,1,1,y
4,0,1,0,1,1,1,1,1,0,1,1,y
5,0,0,0,0,0,0,0,0,1,0,0,n
6,1,0,1,0,1,1,1,0,0,0,1,n
7,0,1,0,0,1,1,1,0,1,0,1,n
8,0,0,0,0,1,0,0,0,1,1,0,n
9,1,1,0,1,1,1,1,1,1,1,1,y
10,1,1,0,1,1,1,1,1,0,1,1,y
11,1,0,1,0,1,1,0,1,0,1,1,y
12,1,0,1,1,1,1,1,1,1,1,1,y
13,0,0,0,0,0,0,0,0,0,0,1,n
14,1,1,1,1,1,1,1,1,1,1,1,y
15,1,0,0,1,0,1,1,1,0,1,1,y
16,0,0,0,0,0,0,0,0,0,1,0,n
17,1,1,1,1,1,1,1,1,1,0,1,y
18,1,0,0,0,0,0,1,0,0,1,1,n
19,0,0,0,0,0,0,0,0,0,0,0,n
20,1,0,1,1,0,1,0,1,1,0,1,y
21,1,1,0,1,1,1,1,1,1,1,0,y
22,1,0,0,0,0,0,0,0,0,0,0,n
23,1,1,1,1,0,1,0,1,1,1,0,y
24,0,1,0,1,1,0,0,1,1,0,1,n
25,0,1,1,1,1,1,1,1,1,1,1,y
26,1,0,0,0,1,1,1,1,1,1,1,y
27,1,1,0,1,0,1,1,0,0,0,0,n
28,1,1,0,1,1,1,1,1,1,1,1,y
29,1,1,0,1,1,0,0,0,1,1,0,y
30,1,0,1,1,1,1,1,1,1,1,1,y
31,1,1,1,0,0,1,1,1,1,1,0,y
32,1,0,1,1,1,0,0,0,1,0,0,n
33,1,0,0,0,0,1,0,0,1,0,0,n
34,1,1,1,1,1,1,0,1,1,0,0,y
35,1,0,0,0,0,0,1,0,0,0,0,n
36,0,1,1,0,0,0,1,0,0,0,0,n
37,1,0,0,0,1,1,0,0,0,0,1,n
38,1,0,0,0,1,1,0,1,0,0,1,n
39,0,0,0,0,0,0,0,0,0,0,1,n
40,1,1,0,0,1,1,1,0,1,1,1,y
41,0,0,0,0,1,0,1,1,0,0,0,n
42,1,0,0,1,1,1,0,0,1,0,0,n
43,1,0,1,1,1,0,0,1,1,1,1,y
44,0,1,1,1,1,0,1,0,0,1,0,y
45,0,0,0,1,1,0,0,0,1,1,0,n
46,1,1,1,1,1,1,1,1,1,1,1,y
47,1,0,0,1,0,0,0,0,1,0,1,n
48,1,1,1,1,0,0,0,1,1,1,0,y
49,1,1,1,1,1,1,1,1,1,1,1,y
50,0,0,0,1,0,0,0,0,0,1,0,n
51,1,1,1,1,1,1,1,1,1,1,1,y
52,1,1,1,0,1,1,1,1,1,1,1,y
53,1,1,0,1,0,0,1,1,1,1,1,y
54,1,1,1,1,0,1,0,1,1,1,0,y
55,0,1,0,1,1,1,1,1,1,1,1,y
56,1,1,0,0,0,1,0,1,1,1,1,y
57,0,0,0,0,0,0,0,0,0,0,0,n
58,1,1,1,1,1,1,1,1,1,1,1,y
59,0,0,0,0,0,0,0,0,0,0,0,n
60,0,0,0,1,0,1,0,1,0,1,0,n
61,1,1,1,1,1,1,1,1,1,1,1,y
62,1,0,1,1,0,0,1,1,0,0,1,n
63,1,1,1,1,1,1,1,1,1,1,0,y
64,1,1,0,1,0,1,1,1,0,0,0,y
65,0,0,0,1,1,0,1,1,1,0,0,n
66,0,0,0,0,0,0,0,0,0,1,0,n
67,1,1,1,1,1,1,0,1,0,1,1,y
68,1,1,1,1,0,1,1,1,0,0,1,y
69,0,1,0,0,1,0,0,0,0,1,0,n
70,1,0,1,1,1,0,1,0,0,0,0,n
71,1,0,0,0,0,0,1,1,0,0,0,n
72,1,1,1,1,1,1,1,0,1,0,1,y
73,0,1,0,1,0,1,0,1,1,0,1,n
74,1,0,1,0,0,1,1,0,1,1,1,y
75,0,0,0,0,0,0,0,0,0,0,0,n
76,0,0,0,1,1,0,0,1,0,0,0,n
77,0,0,0,0,1,0,1,0,0,0,0,n
78,0,0,0,0,1,0,0,0,0,0,0,n
79,0,0,0,0,0,0,1,0,1,1,1,n
80,1,1,1,0,1,1,0,1,1,1,0,y
81,1,1,1,1,0,1,1,0,1,0,1,y
82,1,0,0,0,1,0,0,0,0,0,0,n
83,0,0,1,0,1,0,1,1,0,0,0,n
84,1,1,0,1,0,1,1,1,0,1,1,y
85,1,1,1,1,1,1,1,1,1,0,1,y
86,1,1,1,1,1,1,1,1,1,1,1,y
87,0,1,1,1,0,0,0,1,1,0,0,n
88,1,1,0,0,0,1,1,0,1,0,0,n
89,1,1,1,1,1,0,1,0,1,1,0,y
90,1,0,1,1,1,1,0,1,1,1,1,y
91,1,1,1,1,1,0,0,1,1,1,0,y
92,0,0,1,1,1,1,0,1,1,0,1,y
93,1,1,0,1,0,0,1,1,0,1,1,y
94,1,1,1,1,1,1,0,0,1,1,0,y
95,1,0,1,0,0,1,0,0,0,0,0,n
96,1,1,1,1,0,1,1,1,1,1,0,y
97,1,1,1,0,1,1,1,1,1,1,1,y
98,0,1,1,1,1,0,0,1,0,0,1,n
99,1,0,0,0,0,0,0,0,0,0,0,n
100,1,1,1,1,1,1,1,1,1,1,1,y
101,1,0,0,0,1,1,0,1,0,0,1,n
102,1,1,1,1,0,1,0,1,1,0,1,y
103,1,1,1,1,1,1,1,1,1,1,1,y
104,0,0,0,0,1,0,0,0,0,0,1,n
105,0,0,0,0,0,0,1,0,0,0,0,n
106,0,0,0,0,1,0,0,0,0,0,0,n
107,1,1,1,1,0,1,0,0,1,0,0,y
108,0,0,1,1,0,1,1,1,1,0,0,y
109,0,1,1,0,0,1,0,0,0,1,0,n
110,0,1,1,1,1,1,1,1,1,1,1,y
111,1,1,1,1,0,1,1,0,1,0,0,y
112,1,0,1,1,1,1,1,1,1,0,1,y
113,0,1,0,0,0,0,1,1,1,1,1,n
114,0,0,1,1,1,1,1,1,0,1,1,y
115,1,0,0,1,0,0,0,1,1,1,0,n
116,0,1,1,1,1,1,0,1,1,1,1,y
117,1,1,1,1,1,1,1,1,1,1,1,y
118,0,1,1,0,1,1,0,0,1,1,1,y
119,0,0,1,0,0,0,1,1,0,1,1,n
120,0,1,1,0,0,1,0,0,0,0,0,n
121,1,1,0,1,1,1,1,1,1,1,1,y
122,1,0,1,0,1,0,1,1,1,1,1,y
123,0,1,1,0,0,1,0,1,1,0,1,n
124,0,0,0,0,0,0,0,0,0,0,0,n
125,1,1,0,1,0,1,0,0,0,1,1,n
126,0,0,1,1,1,1,1,1,1,0,1,y
127,0,0,0,1,1,0,1,0,1,0,0,n
128,1,0,0,0,1,0,0,0,1,0,1,n
129,0,1,1,1,1,1,0,0,1,0,1,y
130,0,0,0,0,0,1,1,0,0,0,1,n
131,0,1,1,1,0,1,1,1,1,0,1,y
132,1,1,1,1,1,1,0,1,1,1,1,y
133,1,0,1,1,1,1,1,0,1,1,1,y
134,0,0,1,0,0,0,0,0,0,0,0,n
135,1,1,0,1,1,1,1,0,1,1,1,y
136,0,1,1,0,0,1,1,0,1,0,1,n
137,0,0,0,0,1,0,1,1,0,1,0,n
138,0,0,1,0,0,0,0,0,0,1,0,n
139,1,1,0,1,1,1,1,0,0,1,1,y
140,0,0,0,1,0,0,0,0,1,1,1,n
141,0,0,1,1,0,1,0,0,1,1,1,n
142,1,1,1,1,1,1,0,1,1,1,1,y
143,1,0,1,1,1,1,1,1,1,1,1,y
144,1,1,1,1,1,0,1,1,1,1,1,y
145,1,1,0,0,1,1,0,1,1,0,0,y
146,1,1,0,0,0,0,0,0,1,0,0,n
147,0,0,0,0,1,1,1,0,0,0,0,n
148,0,0,0,0,0,0,0,1,0,0,0,n
149,0,1,0,1,0,0,1,0,0,0,0,n
150,0,0,0,0,0,0,0,0,0,0,1,n
151,1,1,1,1,1,1,1,1,1,1,1,y
152,1,1,1,1,1,1,1,1,1,1,1,y
153,0,0,0,0,0,1,0,0,0,0,0,n
154,1,1,1,1,0,1,1,1,1,1,1,y
155,0,0,0,0,0,0,0,0,0,1,0,n
156,0,0,0,0,0,0,0,0,0,0,0,n
157,1,1,1,1,1,1,1,1,1,1,1,y
158,1,1,1,1,0,1,0,1,1,1,1,y
159,1,0,1,1,1,1,1,1,0,1,1,y
160,1,1,0,1,1,1,1,1,1,1,1,y
161,0,0,0,1,0,0,0,0,0,0,1,n
162,1,0,0,1,1,0,0,1,0,1,0,n
163,0,1,1,0,1,1,0,0,0,0,0,n
164,1,1,1,1,1,1,1,1,1,1,1,y
165,0,0,0,1,1,0,0,0,0,0,1,n
166,0,0,1,1,1,0,1,1,1,1,0,y
167,1,1,0,0,0,1,0,1,0,0,0,n
168,0,0,0,0,0,0,0,0,0,0,0,n
169,1,1,0,1,1,1,0,1,0,1,1,y
170,1,0,0,0,1,0,1,0,1,1,1,n
171,0,0,0,0,0,1,1,0,0,0,0,n
172,1,1,1,1,1,1,1,1,1,1,1,y
173,1,1,1,0,0,1,0,1,1,1,1,y
174,0,0,0,0,0,0,0,0,0,0,0,n
175,0,0,0,0,0,0,0,0,0,0,0,n
176,0,0,0,0,0,0,0,0,0,0,0,n
177,0,0,0,0,0,0,0,1,0,0,0,n
178,0,0,1,0,1,0,0,0,0,0,0,n
179,0,1,1,1,0,0,0,1,0,1,1,n
180,0,1,1,0,1,1,1,0,1,1,1,y
181,1,1,1,1,1,0,1,0,0,1,1,y
182,1,1,1,1,1,1,1,1,1,1,1,y
183,1,0,1,1,1,1,0,1,1,1,1,y
184,1,1,0,0,0,0,1,1,1,0,0,n
185,1,1,1,1,1,1,1,1,1,0,1,y
186,1,1,1,1,1,1,1,1,1,1,1,y
187,0,1,1,1,0,1,0,0,1,1,0,y
188,1,0,1,0,0,1,0,0,1,0,1,n
189,0,1,0,0,0,0,1,0,1,1,0,n
190,0,0,0,1,1,0,0,1,1,1,1,n
191,1,0,1,1,1,1,1,0,1,1,1,y
192,1,1,0,1,1,0,0,0,0,0,1,n
193,0,0,0,0,1,0,0,0,0,0,0,n
194,1,0,1,1,1,1,1,0,1,1,1,y
195,0,0,1,0,0,0,0,1,0,1,0,n
196,1,1,1,1,1,1,1,1,1,1,1,y
197,1,0,1,0,0,0,1,0,0,0,0,n
198,1,1,0,1,0,1,0,0,1,1,1,y
199,0,0,0,0,0,0,1,0,0,1,0,n
200,1,1,1,1,1,1,1,1,1,1,1,y
201,1,1,1,1,1,1,1,1,1,1,1,y
